CodigoDANEEntidad,NombreEntidad,Año,Población,pop_input
05000,Antioquia,2002,5447841.0,5447841.0
05000,Antioquia,2003,5526457.0,5526457.0
05000,Antioquia,2004,5685198.0,5685198.0
05000,Antioquia,2005,5761175.0,5761175.0
05000,Antioquia,2006,5836429.0,5836429.0
05000,Antioquia,2007,5831851.0,5831851.0
05000,Antioquia,2008,5911851.0,5911851.0
05000,Antioquia,2009,5988984.0,5988984.0
05000,Antioquia,2010,6065846.0,6065846.0
05000,Antioquia,2011,6143709.0,6143709.0
05000,Antioquia,2012,6221817.0,6221817.0
05000,Antioquia,2013,6299990.0,6299990.0
05000,Antioquia,2014,6378132.0,6378132.0
05000,Antioquia,2015,6456299.0,6456299.0
05000,Antioquia,2016,6534857.0,6534857.0
05000,Antioquia,2017,6613118.0,6613118.0
05000,Antioquia,2018,6691030.0,6691030.0
05000,Antioquia,2019,6768388.0,6768388.0
05000,Antioquia,2020,6677930.0,6677930.0
05000,Antioquia,2021,6782584.0,6782584.0
05000,Antioquia,2022,6887306.0,6887306.0
05000,Antioquia,2023,6994792.0,6994792.0
05000,Antioquia,2024,6903721.0,6903721.0
05001,Medellín,2002,2129874.0,2129874.0
05001,Medellín,2003,2159609.0,2159609.0
05001,Medellín,2004,2071391.0,2071391.0
05001,Medellín,2005,2093624.0,2093624.0
05001,Medellín,2006,2114549.0,2114549.0
05001,Medellín,2007,2281300.0,2281300.0
05001,Medellín,2008,2290831.0,2290831.0
05001,Medellín,2009,2316853.0,2316853.0
05001,Medellín,2010,2343049.0,2343049.0
05001,Medellín,2011,2368282.0,2368282.0
05001,Medellín,2012,2393011.0,2393011.0
05001,Medellín,2013,2417325.0,2417325.0
05001,Medellín,2014,2441123.0,2441123.0
05001,Medellín,2015,2464322.0,2464322.0
05001,Medellín,2016,2486723.0,2486723.0
05001,Medellín,2017,2508452.0,2508452.0
05001,Medellín,2018,2529403.0,2529403.0
05001,Medellín,2019,2549537.0,2549537.0
05001,Medellín,2020,2533424.0,2533424.0
05001,Medellín,2021,2573220.0,2573220.0
05001,Medellín,2022,2612958.0,2612958.0
05001,Medellín,2023,2653729.0,2653729.0
05001,Medellín,2024,2616335.0,2616335.0
05002,Abejorral,2002,20759.0,20759.0
05002,Abejorral,2003,20570.0,20570.0
05002,Abejorral,2004,24912.0,24912.0
05002,Abejorral,2005,24651.0,24651.0
05002,Abejorral,2006,24517.0,24517.0
05002,Abejorral,2007,19354.0,19354.0
05002,Abejorral,2008,19930.0,19930.0
05002,Abejorral,2009,19853.0,19853.0
05002,Abejorral,2010,19750.0,19750.0
05002,Abejorral,2011,19672.0,19672.0
05002,Abejorral,2012,19570.0,19570.0
05002,Abejorral,2013,19478.0,19478.0
05002,Abejorral,2014,19382.0,19382.0
05002,Abejorral,2015,19290.0,19290.0
05002,Abejorral,2016,19195.0,19195.0
05002,Abejorral,2017,19096.0,19096.0
05002,Abejorral,2018,18991.0,18991.0
05002,Abejorral,2019,18882.0,18882.0
05002,Abejorral,2020,20287.0,20287.0
05002,Abejorral,2021,20602.0,20602.0
05002,Abejorral,2022,20920.0,20920.0
05002,Abejorral,2023,21246.0,21246.0
05002,Abejorral,2024,21468.0,21468.0
05004,Abriaquí,2002,2856.0,2856.0
05004,Abriaquí,2003,2799.0,2799.0
05004,Abriaquí,2004,4330.0,4330.0
05004,Abriaquí,2005,4394.0,4394.0
05004,Abriaquí,2006,4456.0,4456.0
05004,Abriaquí,2007,2639.0,2639.0
05004,Abriaquí,2008,2504.0,2504.0
05004,Abriaquí,2009,2458.0,2458.0
05004,Abriaquí,2010,2397.0,2397.0
05004,Abriaquí,2011,2336.0,2336.0
05004,Abriaquí,2012,2290.0,2290.0
05004,Abriaquí,2013,2231.0,2231.0
05004,Abriaquí,2014,2175.0,2175.0
05004,Abriaquí,2015,2128.0,2128.0
05004,Abriaquí,2016,2075.0,2075.0
05004,Abriaquí,2017,2019.0,2019.0
05004,Abriaquí,2018,1971.0,1971.0
05004,Abriaquí,2019,1918.0,1918.0
05004,Abriaquí,2020,2735.0,2735.0
05004,Abriaquí,2021,2777.0,2777.0
05004,Abriaquí,2022,2820.0,2820.0
05004,Abriaquí,2023,2864.0,2864.0
05004,Abriaquí,2024,2855.0,2855.0
05021,Alejandría,2002,3978.0,3978.0
05021,Alejandría,2003,3912.0,3912.0
05021,Alejandría,2004,6044.0,6044.0
05021,Alejandría,2005,6093.0,6093.0
05021,Alejandría,2006,6143.0,6143.0
05021,Alejandría,2007,3624.0,3624.0
05021,Alejandría,2008,3724.0,3724.0
05021,Alejandría,2009,3688.0,3688.0
05021,Alejandría,2010,3652.0,3652.0
05021,Alejandría,2011,3618.0,3618.0
05021,Alejandría,2012,3575.0,3575.0
05021,Alejandría,2013,3550.0,3550.0
05021,Alejandría,2014,3502.0,3502.0
05021,Alejandría,2015,3466.0,3466.0
05021,Alejandría,2016,3435.0,3435.0
05021,Alejandría,2017,3393.0,3393.0
05021,Alejandría,2018,3361.0,3361.0
05021,Alejandría,2019,3307.0,3307.0
05021,Alejandría,2020,4698.0,4698.0
05021,Alejandría,2021,4771.0,4771.0
05021,Alejandría,2022,4845.0,4845.0
05021,Alejandría,2023,4920.0,4920.0
05021,Alejandría,2024,4955.0,4955.0
05030,Amagá,2002,26294.0,26294.0
05030,Amagá,2003,26571.0,26571.0
05030,Amagá,2004,27347.0,27347.0
05030,Amagá,2005,27524.0,27524.0
05030,Amagá,2006,27726.0,27726.0
05030,Amagá,2007,27450.0,27450.0
05030,Amagá,2008,27950.0,27950.0
05030,Amagá,2009,28192.0,28192.0
05030,Amagá,2010,28433.0,28433.0
05030,Amagá,2011,28664.0,28664.0
05030,Amagá,2012,28897.0,28897.0
05030,Amagá,2013,29117.0,29117.0
05030,Amagá,2014,29339.0,29339.0
05030,Amagá,2015,29555.0,29555.0
05030,Amagá,2016,29770.0,29770.0
05030,Amagá,2017,29980.0,29980.0
05030,Amagá,2018,30181.0,30181.0
05030,Amagá,2019,30376.0,30376.0
05030,Amagá,2020,31283.0,31283.0
05030,Amagá,2021,31768.0,31768.0
05030,Amagá,2022,32259.0,32259.0
05030,Amagá,2023,32762.0,32762.0
05030,Amagá,2024,32412.0,32412.0
05031,Amalfi,2002,20139.0,20139.0
05031,Amalfi,2003,20262.0,20262.0
05031,Amalfi,2004,18969.0,18969.0
05031,Amalfi,2005,18819.0,18819.0
05031,Amalfi,2006,18743.0,18743.0
05031,Amalfi,2007,20607.0,20607.0
05031,Amalfi,2008,20985.0,20985.0
05031,Amalfi,2009,21138.0,21138.0
05031,Amalfi,2010,21295.0,21295.0
05031,Amalfi,2011,21449.0,21449.0
05031,Amalfi,2012,21615.0,21615.0
05031,Amalfi,2013,21768.0,21768.0
05031,Amalfi,2014,21932.0,21932.0
05031,Amalfi,2015,22088.0,22088.0
05031,Amalfi,2016,22253.0,22253.0
05031,Amalfi,2017,22414.0,22414.0
05031,Amalfi,2018,22567.0,22567.0
05031,Amalfi,2019,22714.0,22714.0
05031,Amalfi,2020,27071.0,27071.0
05031,Amalfi,2021,27496.0,27496.0
05031,Amalfi,2022,27921.0,27921.0
05031,Amalfi,2023,28357.0,28357.0
05031,Amalfi,2024,27846.0,27846.0
05034,Andes,2002,40526.0,40526.0
05034,Andes,2003,40858.0,40858.0
05034,Andes,2004,38112.0,38112.0
05034,Andes,2005,37656.0,37656.0
05034,Andes,2006,37438.0,37438.0
05034,Andes,2007,41673.0,41673.0
05034,Andes,2008,42852.0,42852.0
05034,Andes,2009,43290.0,43290.0
05034,Andes,2010,43715.0,43715.0
05034,Andes,2011,44149.0,44149.0
05034,Andes,2012,44573.0,44573.0
05034,Andes,2013,44994.0,44994.0
05034,Andes,2014,45417.0,45417.0
05034,Andes,2015,45814.0,45814.0
05034,Andes,2016,46221.0,46221.0
05034,Andes,2017,46621.0,46621.0
05034,Andes,2018,47003.0,47003.0
05034,Andes,2019,47384.0,47384.0
05034,Andes,2020,44199.0,44199.0
05034,Andes,2021,44885.0,44885.0
05034,Andes,2022,45577.0,45577.0
05034,Andes,2023,46289.0,46289.0
05034,Andes,2024,46183.0,46183.0
05036,Angelópolis,2002,7259.0,7259.0
05036,Angelópolis,2003,7388.0,7388.0
05036,Angelópolis,2004,6612.0,6612.0
05036,Angelópolis,2005,6620.0,6620.0
05036,Angelópolis,2006,6637.0,6637.0
05036,Angelópolis,2007,7754.0,7754.0
05036,Angelópolis,2008,8034.0,8034.0
05036,Angelópolis,2009,8151.0,8151.0
05036,Angelópolis,2010,8287.0,8287.0
05036,Angelópolis,2011,8415.0,8415.0
05036,Angelópolis,2012,8551.0,8551.0
05036,Angelópolis,2013,8680.0,8680.0
05036,Angelópolis,2014,8806.0,8806.0
05036,Angelópolis,2015,8946.0,8946.0
05036,Angelópolis,2016,9082.0,9082.0
05036,Angelópolis,2017,9216.0,9216.0
05036,Angelópolis,2018,9353.0,9353.0
05036,Angelópolis,2019,9492.0,9492.0
05036,Angelópolis,2020,5841.0,5841.0
05036,Angelópolis,2021,5932.0,5932.0
05036,Angelópolis,2022,6023.0,6023.0
05036,Angelópolis,2023,6117.0,6117.0
05036,Angelópolis,2024,6109.0,6109.0
05038,Angostura,2002,12768.0,12768.0
05038,Angostura,2003,12691.0,12691.0
05038,Angostura,2004,15756.0,15756.0
05038,Angostura,2005,15851.0,15851.0
05038,Angostura,2006,15956.0,15956.0
05038,Angostura,2007,12205.0,12205.0
05038,Angostura,2008,12175.0,12175.0
05038,Angostura,2009,12046.0,12046.0
05038,Angostura,2010,11930.0,11930.0
05038,Angostura,2011,11811.0,11811.0
05038,Angostura,2012,11695.0,11695.0
05038,Angostura,2013,11579.0,11579.0
05038,Angostura,2014,11464.0,11464.0
05038,Angostura,2015,11354.0,11354.0
05038,Angostura,2016,11240.0,11240.0
05038,Angostura,2017,11139.0,11139.0
05038,Angostura,2018,11040.0,11040.0
05038,Angostura,2019,10932.0,10932.0
05038,Angostura,2020,11536.0,11536.0
05038,Angostura,2021,11715.0,11715.0
05038,Angostura,2022,11896.0,11896.0
05038,Angostura,2023,12081.0,12081.0
05038,Angostura,2024,12121.0,12121.0
05040,Anorí,2002,14442.0,14442.0
05040,Anorí,2003,14640.0,14640.0
05040,Anorí,2004,15621.0,15621.0
05040,Anorí,2005,15751.0,15751.0
05040,Anorí,2006,15886.0,15886.0
05040,Anorí,2007,15155.0,15155.0
05040,Anorí,2008,15605.0,15605.0
05040,Anorí,2009,15812.0,15812.0
